block,session_id,user_id,Date(createdAt),date(updatedAt)
"""BLOCK_ffd2fb5f-4dc7-41b*d-81f635dd47f3""",1598,1401,2020-04-23,2020-04-23
"""BLOCK_8b1cedaa-44d*fb-2bd9aadef168""",1598,1401,2020-04-23,2020-04-23
"""BLOCK_0c95aa31-ffea-41dd-bd88-9e912e659f36""",1598,1401,2020-04-23,2020-04-23
"""BLOCK_d1c6bf7e-b6d9-4c9b-*f2bda54b""",1598,1401,2020-04-23,2020-04-23
"""BLOCK_e294dcfb-da*fc-b*d1c29c""",1598,1401,2020-04-23,2020-04-23
"""BLOCK_cb*d*d-ac*bd*""",1598,1401,2020-04-23,2020-04-23
"""BLOCK_dba7d11e-*a8a-996d-08d02ce*""",1598,1401,2020-04-23,2020-04-23
"""BLOCK_ffd2fb5f-4dc7-41b*d-81f635dd47f3""",1598,1401,2020-04-23,2020-04-23
"""BLOCK_8b1cedaa-44d*fb-2bd9aadef168""",1598,1401,2020-04-23,2020-04-23
"""BLOCK_0c95aa31-ffea-41dd-bd88-9e912e659f36""",1598,1401,2020-04-23,2020-04-23
"""BLOCK_d1c6bf7e-b6d9-4c9b-*f2bda54b""",1598,1401,2020-04-23,2020-04-23
"""BLOCK_cb*d*d-ac*bd*""",1598,1401,2020-04-23,2020-04-23
"""BLOCK_fb*fcfc-47ff-9c77-dd3c7ab7150a""",1598,1401,2020-04-24,2020-04-24
"""BLOCK_8b1cedaa-44d*fb-2bd9aadef168""",1598,1401,2020-04-24,2020-04-24
"""BLOCK_0c95aa31-ffea-41dd-bd88-9e912e659f36""",1598,1401,2020-04-24,2020-04-24
"""BLOCK_d1c6bf7e-b6d9-4c9b-*f2bda54b""",1598,1401,2020-04-24,2020-04-24
"""BLOCK_e294dcfb-da*fc-b*d1c29c""",1598,1401,2020-04-24,2020-04-24
"""BLOCK_cb*d*d-ac*bd*""",1598,1401,2020-04-24,2020-04-24
"""BLOCK_9d397dc3-d0f3-4e*ba0464d0f46""",1598,1401,2020-04-24,2020-04-24
"""BLOCK_e34c811c-01f*a41b-8f503b2a181c""",1790,1568,2020-04-24,2020-04-24
"""BLOCK_23fcf*a-*b72d-12b*dda""",1835,1612,2020-04-24,2020-04-24
"""BLOCK_e2c*e*a-8e*bb958f0c00""",1835,1612,2020-04-24,2020-04-24
"""BLOCK_efa07c3d-411b-4f2a-ad79-c430dc1d61ff""",1869,1649,2020-04-25,2020-04-25
"""BLOCK_75d22d57-dd*a-9ab3-fa3373b348c5""",1869,1649,2020-04-25,2020-04-25
"""BLOCK_75d22d57-dd*a-9ab3-fa3373b348c5""",1869,1649,2020-04-25,2020-04-25
"""BLOCK_*db-*bd4f-fa*e38""",1981,1760,2020-04-25,2020-04-25
"""BLOCK_efa07c3d-411b-4f2a-ad79-c430dc1d61ff""",2118,1894,2020-04-26,2020-04-26
"""BLOCK_efa07c3d-411b-4f2a-ad79-c430dc1d61ff""",2118,1894,2020-04-26,2020-04-26
"""BLOCK_efa07c3d-411b-4f2a-ad79-c430dc1d61ff""",2118,1894,2020-04-26,2020-04-26
"""BLOCK_51a*a-b2c2-9dd425c73e3e""",2118,1894,2020-04-26,2020-04-26
"""BLOCK_be*d-b5f8-4daa-9af*ad85""",2118,1894,2020-04-26,2020-04-26
"""BLOCK_91c3f3e8-a7e*d-88b*a88e""",2118,1894,2020-04-26,2020-04-26
"""BLOCK_0a4efc*d*b*""",2118,1894,2020-04-26,2020-04-26
"""BLOCK_c8d*be*df81bb671""",2118,1894,2020-04-26,2020-04-26
"""BLOCK_ffd2fb5f-4dc7-41b*d-81f635dd47f3""",2118,1894,2020-04-26,2020-04-26
"""BLOCK_8b1cedaa-44d*fb-2bd9aadef168""",2118,1894,2020-04-26,2020-04-26
"""BLOCK_0c95aa31-ffea-41dd-bd88-9e912e659f36""",2118,1894,2020-04-26,2020-04-26
"""BLOCK_d1c6bf7e-b6d9-4c9b-*f2bda54b""",2118,1894,2020-04-26,2020-04-26
"""BLOCK_a43dc9f7-9bbc-*f*a9003a8ab4""",2118,1894,2020-04-26,2020-04-26
"""BLOCK_e294dcfb-da*fc-b*d1c29c""",2118,1894,2020-04-26,2020-04-26
"""BLOCK_efa07c3d-411b-4f2a-ad79-c430dc1d61ff""",2119,1895,2020-04-26,2020-04-26
"""BLOCK_51a*a-b2c2-9dd425c73e3e""",2119,1895,2020-04-26,2020-04-26
"""BLOCK_be*d-b5f8-4daa-9af*ad85""",2119,1895,2020-04-26,2020-04-26
"""BLOCK_91c3f3e8-a7e*d-88b*a88e""",2119,1895,2020-04-26,2020-04-26
"""BLOCK_0a4efc*d*b*""",2119,1895,2020-04-26,2020-04-26
"""BLOCK_c8d*be*df81bb671""",2119,1895,2020-04-26,2020-04-26
"""BLOCK_ffd2fb5f-4dc7-41b*d-81f635dd47f3""",2119,1895,2020-04-26,2020-04-26
"""BLOCK_8b1cedaa-44d*fb-2bd9aadef168""",2119,1895,2020-04-26,2020-04-26
"""BLOCK_0c95aa31-ffea-41dd-bd88-9e912e659f36""",2119,1895,2020-04-26,2020-04-26
"""BLOCK_d1c6bf7e-b6d9-4c9b-*f2bda54b""",2119,1895,2020-04-26,2020-04-26
"""BLOCK_e294dcfb-da*fc-b*d1c29c""",2119,1895,2020-04-26,2020-04-26
"""BLOCK_cb*d*d-ac*bd*""",2119,1895,2020-04-26,2020-04-26
"""BLOCK_*f58-0e2c-4de*c-2ee8a0581f21""",2119,1895,2020-04-26,2020-04-26
"""BLOCK_cb*d*d-ac*bd*""",2119,1895,2020-04-26,2020-04-26
"""BLOCK_c8d*be*df81bb671""",2119,1895,2020-04-26,2020-04-26
"""BLOCK_ffd2fb5f-4dc7-41b*d-81f635dd47f3""",2119,1895,2020-04-26,2020-04-26
"""BLOCK_efa07c3d-411b-4f2a-ad79-c430dc1d61ff""",2121,1897,2020-04-26,2020-04-26
"""BLOCK_51a*a-b2c2-9dd425c73e3e""",2121,1897,2020-04-26,2020-04-26
"""BLOCK_be*d-b5f8-4daa-9af*ad85""",2121,1897,2020-04-26,2020-04-26
