cnt,label,session_id,user_id,createdAt,updatedAt
15,Counselling,793343,769333,2021-01-07,2021-01-07
2,Enquiry,793419,769409,2021-01-07,2021-01-07
18,Counselling,792943,768933,2021-01-07,2021-01-07
9,Counselling,793762,769752,2021-01-07,2021-01-07
1,Enquiry,793090,769080,2021-01-07,2021-01-07
8,Counselling,793156,769146,2021-01-07,2021-01-07
5,Counselling,792389,768378,2021-01-06,2021-01-06
4,Counselling,792883,768873,2021-01-06,2021-01-06
2,Enquiry,791922,767911,2021-01-06,2021-01-06
2,Enquiry,791949,767938,2021-01-06,2021-01-06
1,Enquiry,791991,767980,2021-01-06,2021-01-06
33,Counselling,790758,766748,2021-01-05,2021-01-05
21,Counselling,790053,766043,2021-01-04,2021-01-04
50,Counselling,790087,766077,2021-01-04,2021-01-04
3,Enquiry,790102,766092,2021-01-04,2021-01-04
1,Enquiry,790364,766354,2021-01-04,2021-01-04
1,Enquiry,789707,765697,2021-01-04,2021-01-04
2,Enquiry,790487,766477,2021-01-04,2021-01-04
18,Counselling,789033,765022,2021-01-03,2021-01-03
3,Enquiry,789210,765199,2021-01-03,2021-01-03
8,Counselling,789253,765242,2021-01-03,2021-01-03
7,Counselling,788680,764669,2021-01-03,2021-01-03
2,Enquiry,788959,764948,2021-01-03,2021-01-03
9,Counselling,788403,764392,2021-01-02,2021-01-02
1,Enquiry,788655,764644,2021-01-02,2021-01-02
5,Counselling,787710,763700,2021-01-01,2021-01-01
3,Enquiry,706549,763182,2021-01-01,2021-01-01
1,Enquiry,787674,763664,2021-01-01,2021-01-01
13,Counselling,786744,762733,2020-12-31,2020-12-31
1,Enquiry,786997,762986,2020-12-31,2020-12-31
8,Counselling,785935,761923,2020-12-29,2020-12-29
1,Enquiry,785031,761019,2020-12-29,2020-12-29
3,Enquiry,785059,761047,2020-12-29,2020-12-29
14,Counselling,785914,761902,2020-12-29,2020-12-29
2,Enquiry,784045,760035,2020-12-28,2020-12-28
4,Counselling,785012,761000,2020-12-28,2020-12-28
11,Counselling,784383,760373,2020-12-28,2020-12-28
1,Enquiry,784842,760831,2020-12-28,2020-12-28
11,Counselling,784870,760859,2020-12-28,2020-12-28
3,Enquiry,784956,760944,2020-12-28,2020-12-28
2,Enquiry,783267,759257,2020-12-27,2020-12-27
1,Enquiry,707797,759609,2020-12-27,2020-12-27
1,Enquiry,783676,759667,2020-12-27,2020-12-27
5,Counselling,783222,759212,2020-12-26,2020-12-26
6,Counselling,782849,758839,2020-12-26,2020-12-26
1,Enquiry,783070,759060,2020-12-26,2020-12-26
6,Counselling,783095,759085,2020-12-26,2020-12-26
1,Enquiry,783138,759128,2020-12-26,2020-12-26
5,Counselling,782520,758510,2020-12-25,2020-12-25
8,Counselling,781978,757967,2020-12-25,2020-12-25
1,Enquiry,781898,757887,2020-12-24,2020-12-24
3,Enquiry,781907,757896,2020-12-24,2020-12-24
2,Enquiry,781551,757540,2020-12-23,2020-12-23
8,Counselling,780895,756885,2020-12-23,2020-12-23
2,Enquiry,780897,756887,2020-12-23,2020-12-23
10,Counselling,780908,756898,2020-12-23,2020-12-23
2,Enquiry,780727,756717,2020-12-22,2020-12-22
8,Counselling,780068,756058,2020-12-21,2020-12-21
1,Enquiry,779472,755462,2020-12-21,2020-12-21
1,Enquiry,779783,755773,2020-12-21,2020-12-21
1,Enquiry,779165,755155,2020-12-20,2020-12-20
19,Counselling,777885,753876,2020-12-19,2020-12-19
14,Counselling,777871,753862,2020-12-18,2020-12-18
1,Enquiry,776670,752661,2020-12-18,2020-12-18
7,Counselling,777809,753800,2020-12-18,2020-12-18
2,Enquiry,777425,753416,2020-12-18,2020-12-18
1,Enquiry,777813,753804,2020-12-18,2020-12-18
6,Counselling,775713,751704,2020-12-17,2020-12-17
1,Enquiry,776396,752387,2020-12-17,2020-12-17
4,Counselling,775300,751291,2020-12-16,2020-12-16
1,Enquiry,773884,749874,2020-12-14,2020-12-14
6,Counselling,773965,749955,2020-12-14,2020-12-14
3,Enquiry,773687,749677,2020-12-14,2020-12-14
4,Counselling,773970,749960,2020-12-14,2020-12-14
2,Enquiry,732580,709316,2020-12-14,2020-12-14
5,Counselling,773787,749777,2020-12-14,2020-12-14
5,Counselling,773249,749239,2020-12-12,2020-12-12
3,Enquiry,773321,749311,2020-12-12,2020-12-12
2,Enquiry,772959,748949,2020-12-12,2020-12-12
4,Counselling,773167,749157,2020-12-12,2020-12-12
6,Counselling,772625,748615,2020-12-11,2020-12-11
9,Counselling,772740,748730,2020-12-11,2020-12-11
2,Enquiry,772570,748560,2020-12-11,2020-12-11
3,Enquiry,772906,748896,2020-12-11,2020-12-11
2,Enquiry,772572,748562,2020-12-11,2020-12-11
2,Enquiry,772579,748569,2020-12-11,2020-12-11
12,Counselling,772441,748431,2020-12-10,2020-12-10
11,Counselling,772223,748213,2020-12-10,2020-12-10
2,Enquiry,772334,748324,2020-12-10,2020-12-10
28,Counselling,772380,748370,2020-12-10,2020-12-10
2,Enquiry,771969,747959,2020-12-09,2020-12-09
13,Counselling,771592,747582,2020-12-09,2020-12-09
3,Enquiry,772005,747995,2020-12-09,2020-12-09
24,Counselling,771595,747585,2020-12-09,2020-12-09
11,Counselling,771834,747824,2020-12-09,2020-12-09
2,Enquiry,771500,747489,2020-12-09,2020-12-09
4,Counselling,771888,747878,2020-12-09,2020-12-09
3,Enquiry,760626,747541,2020-12-09,2020-12-09
9,Counselling,770976,746965,2020-12-08,2020-12-08
2,Enquiry,771115,747104,2020-12-08,2020-12-08
2,Enquiry,771457,747446,2020-12-08,2020-12-08
3,Enquiry,770502,746491,2020-12-07,2020-12-07
5,Counselling,770772,746761,2020-12-07,2020-12-07
2,Enquiry,770797,746786,2020-12-07,2020-12-07
2,Enquiry,770887,746876,2020-12-07,2020-12-07
2,Enquiry,770462,746451,2020-12-07,2020-12-07
19,Counselling,769615,745604,2020-12-06,2020-12-06
3,Enquiry,770235,746224,2020-12-06,2020-12-06
4,Counselling,770250,746239,2020-12-06,2020-12-06
4,Counselling,770294,746283,2020-12-06,2020-12-06
1,Enquiry,769615,745604,2020-12-05,2020-12-05
3,Enquiry,769782,745771,2020-12-05,2020-12-05
6,Counselling,769812,745801,2020-12-05,2020-12-05
1,Enquiry,769814,745803,2020-12-05,2020-12-05
